order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender,Days_Since_Last_Purchase,Total_Spend,Customer_Status
ORD5000,CUST1000,39,PROD200,Canada,1/7/2021,2/21/2023,0,active,8/20/2024,78.21,5,37,Sports,Football,Sports,Female,567,391.04999999999995,Churned
ORD5001,CUST1001,61,PROD201,USA,10/19/2020,12/8/2021,0,active,7/17/2025,64.02,8,35,Sports,Refrigerator,Home,Female,1007,512.16,Churned
ORD5002,CUST1002,26,PROD202,Pakistan,6/10/2023,9/4/2023,3,cancelled,3/12/2025,604.14,2,44,Electronics,Hoodie,Clothing,Female,372,1208.28,Churned
ORD5003,CUST1003,54,PROD203,India,7/30/2023,2/20/2024,4,paused,9/19/2024,84.66,4,1,Sports,Conditioner,Beauty,Male,203,338.64,Churned
ORD5004,CUST1004,50,PROD204,India,12/9/2020,9/14/2024,0,active,8/8/2024,62.66,7,35,Sports,Smartwatch,Electronics,Male,-4,438.62,Active
ORD5005,CUST1005,46,PROD205,Pakistan,5/16/2023,8/13/2025,2,active,10/14/2024,221.61,8,16,Electronics,Hoodie,Clothing,Male,-337,1772.88,Active
ORD5006,CUST1006,29,PROD206,Germany,4/10/2023,7/15/2025,1,active,3/5/2024,175.74,4,7,Clothing,Tablet,Electronics,Female,-308,702.96,Active
ORD5007,CUST1007,24,PROD207,UK,7/11/2022,12/31/2024,2,active,3/21/2025,9.56,5,34,Clothing,Jacket,Clothing,Female,-112,47.800000000000004,Active
ORD5008,CUST1008,53,PROD208,Pakistan,4/25/2021,12/26/2024,4,paused,12/14/2023,1525.8,1,32,Electronics,"Nail Polish",Beauty,Female,-107,1525.8,Active
ORD5009,CUST1009,38,PROD209,Germany,12/9/2021,11/29/2024,2,active,12/24/2021,337.24,4,6,Clothing,Camera,Electronics,Male,-80,1348.96,Active
ORD5010,CUST1010,41,PROD210,UK,10/4/2020,8/2/2022,2,active,11/23/2023,203.05,6,38,Home,Dumbbells,Sports,Female,770,1218.3000000000002,Churned
ORD5011,CUST1011,24,PROD211,Canada,2/12/2022,3/12/2025,1,active,5/30/2025,940.17,1,24,Beauty,Headphones,Electronics,Female,-183,940.17,Active
ORD5012,CUST1012,39,PROD212,Canada,12/20/2020,1/16/2023,2,active,8/7/2021,168.79,9,36,Beauty,"Vacuum Cleaner",Home,Female,603,1519.11,Churned
ORD5013,CUST1013,61,PROD213,USA,2/19/2021,12/9/2024,3,active,1/26/2024,236.77,8,5,Sports,Perfume,Beauty,Female,-90,1894.16,Active
ORD5014,CUST1014,64,PROD214,UK,2/27/2021,4/24/2025,1,active,12/6/2023,130.32,6,20,Clothing,"Cycling Helmet",Sports,Female,-226,781.92,Active
ORD5015,CUST1015,28,PROD215,UK,12/31/2021,11/15/2023,5,cancelled,11/30/2024,333.99,3,27,Home,"Face Wash",Beauty,Female,300,1001.97,Churned
ORD5016,CUST1016,34,PROD216,USA,7/6/2021,8/2/2025,1,active,6/19/2024,1875.08,1,31,Sports,Football,Sports,Female,-326,1875.08,Active
ORD5017,CUST1017,22,PROD217,Pakistan,9/14/2021,8/4/2024,0,cancelled,1/27/2024,211.24,6,18,Electronics,"Cricket Bat",Sports,Male,37,1267.44,Active
ORD5018,CUST1018,42,PROD218,USA,5/25/2023,1/9/2025,5,paused,8/13/2025,1702.39,1,14,Clothing,Sneakers,Clothing,Male,-121,1702.39,Active
ORD5019,CUST1019,51,PROD219,India,9/14/2022,8/13/2025,0,paused,10/27/2024,199.58,8,41,Clothing,Refrigerator,Home,Female,-337,1596.64,Active
ORD5020,CUST1020,64,PROD220,Canada,3/13/2022,1/23/2024,4,active,5/6/2022,242.03,6,2,Electronics,"Cricket Bat",Sports,Female,231,1452.18,Churned
ORD5021,CUST1021,52,PROD221,Germany,2/2/2021,6/20/2022,1,paused,8/20/2024,50.78,7,9,Home,Dress,Clothing,Male,813,355.46000000000004,Churned
ORD5022,CUST1022,28,PROD222,Germany,6/9/2022,8/5/2022,2,active,2/6/2024,89.87,6,39,Home,Smartphone,Electronics,Female,767,539.22,Churned
ORD5023,CUST1023,25,PROD223,Germany,5/4/2021,6/11/2025,5,active,7/11/2025,52.34,8,16,Electronics,Camera,Electronics,Male,-274,418.72,Active
ORD5024,CUST1024,45,PROD224,Germany,4/14/2022,1/29/2023,2,active,5/21/2024,232.67,3,20,Clothing,Lipstick,Beauty,Male,590,698.01,Churned
ORD5025,CUST1025,49,PROD225,India,11/7/2021,6/9/2022,3,cancelled,9/26/2022,142.89,5,40,Clothing,Sneakers,Clothing,Male,824,714.4499999999999,Churned
ORD5026,CUST1026,27,PROD226,Germany,5/15/2023,5/5/2025,0,paused,8/26/2024,44.69,7,28,Beauty,T-Shirt,Clothing,Male,-237,312.83,Active
ORD5027,CUST1027,69,PROD227,Pakistan,3/23/2021,2/25/2022,4,cancelled,11/13/2024,139.3,7,42,Clothing,"Tennis Racket",Sports,Male,928,975.1000000000001,Churned
ORD5028,CUST1028,66,PROD228,India,6/2/2021,4/3/2025,1,active,1/17/2022,149.65,8,45,Electronics,Sofa,Home,Male,-205,1197.2,Active
ORD5029,CUST1029,43,PROD229,Canada,8/22/2020,3/22/2024,3,cancelled,8/6/2021,157.1,6,14,Electronics,Laptop,Electronics,Female,172,942.5999999999999,Churned
ORD5030,CUST1030,18,PROD230,Germany,4/19/2021,6/1/2021,5,active,3/4/2023,182.53,9,24,Clothing,Basketball,Sports,Male,1197,1642.77,Churned
ORD5031,CUST1031,37,PROD231,Canada,8/19/2021,7/22/2023,4,paused,9/7/2024,31.95,1,9,Home,Dress,Clothing,Male,416,31.95,Churned
ORD5032,CUST1032,52,PROD232,Germany,2/9/2021,7/27/2021,0,cancelled,11/10/2023,804.77,2,26,Beauty,"Cycling Helmet",Sports,Female,1141,1609.54,Churned
ORD5033,CUST1033,50,PROD233,Canada,3/25/2022,9/25/2022,5,active,9/5/2022,332.38,5,29,Home,Shirt,Clothing,Male,716,1661.9,Churned
ORD5034,CUST1034,49,PROD234,UK,2/26/2021,4/22/2025,5,active,10/18/2021,1292.65,1,12,Electronics,"Cricket Bat",Sports,Female,-224,1292.65,Active
ORD5035,CUST1035,48,PROD235,India,7/11/2021,11/23/2023,3,active,6/3/2024,36.39,7,24,Electronics,Tablet,Electronics,Female,292,254.73000000000002,Churned
ORD5036,CUST1036,42,PROD236,UK,8/3/2023,1/14/2024,0,paused,9/22/2024,79.19,7,13,Home,Camera,Electronics,Male,240,554.3299999999999,Churned
ORD5037,CUST1037,66,PROD237,India,3/25/2023,5/16/2023,3,active,12/29/2024,94.06,4,48,Sports,Blender,Home,Male,483,376.24,Churned
ORD5038,CUST1038,25,PROD238,Pakistan,2/17/2022,6/29/2023,3,paused,3/13/2022,786.48,2,11,Sports,Basketball,Sports,Female,439,1572.96,Churned
ORD5039,CUST1039,40,PROD239,India,12/4/2022,12/13/2024,5,active,6/5/2025,20.55,6,47,Beauty,Sneakers,Clothing,Female,-94,123.30000000000001,Active
ORD5040,CUST1040,31,PROD240,USA,5/8/2023,8/6/2025,3,active,10/9/2023,203.23,5,45,Beauty,Sneakers,Clothing,Male,-330,1016.15,Active
ORD5041,CUST1041,55,PROD241,Pakistan,7/19/2022,3/28/2025,5,active,12/2/2024,65.07,7,5,Sports,Dumbbells,Sports,Female,-199,455.48999999999995,Active
ORD5042,CUST1042,57,PROD242,Germany,5/23/2023,3/15/2025,4,paused,8/25/2023,1954.64,1,36,Home,"Cricket Bat",Sports,Other,-186,1954.64,Active
ORD5043,CUST1043,55,PROD243,UK,4/22/2023,5/28/2024,4,active,12/24/2024,18.98,7,45,Sports,Smartphone,Electronics,Female,105,132.86,Churned
ORD5044,CUST1044,47,PROD244,Germany,3/11/2022,12/11/2023,5,cancelled,7/9/2025,654.56,3,48,Beauty,Football,Sports,Male,274,1963.6799999999998,Churned
ORD5045,CUST1045,29,PROD245,Pakistan,11/30/2020,5/22/2022,0,active,10/24/2023,334.17,5,6,Home,Headphones,Electronics,Male,842,1670.8500000000001,Churned
ORD5046,CUST1046,19,PROD246,Pakistan,3/21/2023,1/14/2025,0,active,4/29/2024,219.75,5,37,Beauty,Jacket,Clothing,Female,-126,1098.75,Active
ORD5047,CUST1047,38,PROD247,Canada,7/13/2021,7/9/2022,1,active,7/23/2021,223.05,7,23,Home,Lamp,Home,Male,794,1561.3500000000001,Churned
ORD5048,CUST1048,48,PROD248,Pakistan,4/10/2023,4/18/2025,5,paused,6/9/2025,149.88,4,35,Sports,Headphones,Electronics,Male,-220,599.52,Active
ORD5049,CUST1049,58,PROD249,Germany,6/17/2022,1/4/2025,4,active,11/26/2024,165.27,9,30,Sports,"Bluetooth Speaker",Electronics,Male,-116,1487.43,Active
ORD5050,CUST1050,27,PROD250,Pakistan,8/29/2020,8/15/2024,0,paused,2/9/2023,222.62,8,37,Beauty,"Gaming Console",Electronics,Female,26,1780.96,Active
ORD5051,CUST1051,54,PROD251,Canada,12/5/2022,7/13/2023,2,active,6/5/2025,45.17,2,14,Beauty,"Bluetooth Speaker",Electronics,Male,425,90.34,Churned
ORD5052,CUST1052,67,PROD252,USA,9/9/2020,5/28/2025,3,active,3/19/2022,136.95,8,4,Clothing,Basketball,Sports,Female,-260,1095.6,Active
ORD5053,CUST1053,51,PROD253,Canada,10/5/2020,8/16/2021,4,cancelled,4/3/2025,323.04,3,8,Beauty,"Nail Polish",Beauty,Female,1121,969.1200000000001,Churned
ORD5054,CUST1054,59,PROD254,UK,5/3/2023,4/26/2024,0,cancelled,12/24/2023,104,3,1,Electronics,Smartphone,Electronics,Male,137,312,Churned
ORD5055,CUST1055,42,PROD255,USA,4/9/2022,8/4/2022,4,cancelled,4/10/2023,251.6,3,23,Beauty,Lamp,Home,Female,768,754.8,Churned
ORD5056,CUST1056,38,PROD256,USA,8/15/2023,12/28/2023,0,active,4/18/2025,472.04,2,17,Electronics,Shirt,Clothing,Male,257,944.08,Churned
ORD5057,CUST1057,23,PROD257,Germany,2/27/2023,2/11/2025,5,active,3/14/2023,21.85,8,1,Home,"Tennis Racket",Sports,Female,-154,174.8,Active
ORD5058,CUST1058,18,PROD258,USA,4/22/2021,5/18/2023,3,active,2/4/2023,295.22,5,18,Electronics,Jeans,Clothing,Male,481,1476.1000000000001,Churned
ORD5059,CUST1059,41,PROD259,Canada,8/30/2020,9/2/2023,0,paused,9/30/2023,362.26,5,13,Beauty,"Running Shoes",Sports,Female,374,1811.3,Churned
ORD5060,CUST1060,35,PROD260,Canada,8/16/2021,9/21/2021,1,cancelled,11/22/2021,286.73,6,42,Beauty,"Cycling Helmet",Sports,Female,1085,1720.38,Churned
ORD5061,CUST1061,39,PROD261,Canada,12/29/2021,1/10/2024,3,active,4/5/2022,34.68,9,2,Home,Smartphone,Electronics,Female,244,312.12,Churned
ORD5062,CUST1062,33,PROD262,UK,9/9/2021,2/2/2024,4,paused,11/14/2022,370.97,4,13,Electronics,Sneakers,Clothing,Female,221,1483.88,Churned
ORD5063,CUST1063,34,PROD263,Canada,11/26/2020,3/10/2022,4,active,8/17/2021,841.95,2,9,Sports,Camera,Electronics,Female,915,1683.9,Churned
ORD5064,CUST1064,22,PROD264,Germany,7/8/2022,2/3/2023,4,cancelled,3/31/2024,1795.65,1,16,Clothing,Sofa,Home,Female,585,1795.65,Churned
ORD5065,CUST1065,56,PROD265,Pakistan,11/16/2020,6/12/2025,1,paused,8/15/2022,459.56,3,7,Sports,Smartwatch,Electronics,Male,-275,1378.68,Active
ORD5066,CUST1066,54,PROD266,Pakistan,7/13/2023,4/10/2024,3,cancelled,8/8/2024,193.86,5,9,Home,Hoodie,Clothing,Female,153,969.3000000000001,Churned
ORD5067,CUST1067,66,PROD267,UK,9/24/2021,10/30/2024,4,active,6/22/2024,180.63,3,39,Clothing,"Cycling Helmet",Sports,Female,-50,541.89,Active
ORD5068,CUST1068,45,PROD268,Canada,5/27/2023,9/11/2024,5,active,9/28/2024,1217.67,1,40,Home,Lipstick,Beauty,Other,-1,1217.67,Active
ORD5069,CUST1069,19,PROD269,Canada,1/25/2022,6/29/2025,4,active,1/7/2025,262.1,6,33,Clothing,Smartwatch,Electronics,Male,-292,1572.6000000000001,Active
ORD5070,CUST1070,33,PROD270,India,7/29/2023,12/18/2024,3,active,4/17/2025,466.13,3,25,Home,Jeans,Clothing,Female,-99,1398.3899999999999,Active
ORD5071,CUST1071,62,PROD271,India,10/9/2021,3/1/2024,2,active,12/25/2022,365.16,3,13,Sports,Laptop,Electronics,Female,193,1095.48,Churned
ORD5072,CUST1072,34,PROD272,Canada,12/14/2020,4/1/2021,3,active,7/10/2023,24.08,5,28,Beauty,"Bluetooth Speaker",Electronics,Male,1258,120.39999999999999,Churned
ORD5073,CUST1073,57,PROD273,Pakistan,11/1/2021,10/20/2022,0,cancelled,7/21/2025,167.47,5,13,Sports,Sofa,Home,Male,691,837.35,Churned
ORD5074,CUST1074,21,PROD274,India,8/19/2021,5/21/2025,2,active,9/11/2022,44.36,6,27,Sports,"Bluetooth Speaker",Electronics,Female,-253,266.15999999999997,Active
ORD5075,CUST1075,43,PROD275,USA,8/20/2022,2/20/2024,1,cancelled,8/16/2023,157.7,5,32,Home,Dumbbells,Sports,Female,203,788.5,Churned
ORD5076,CUST1076,63,PROD276,USA,5/3/2021,8/6/2022,5,cancelled,7/30/2025,244.5,6,19,Clothing,Blender,Home,Male,766,1467,Churned
